Date,rf_annual,rf_monthly
2010-09-01,0.0015,0.00012491414476678564
2010-10-01,0.0013,0.00010826883828274347
2010-11-01,0.0014000000000000002,0.00011659187244639213
2010-12-01,0.0014000000000000002,0.00011659187244639213
2011-01-01,0.0015,0.00012491414476678564
2011-02-01,0.0013,0.00010826883828274347
2011-03-01,0.001,8.329516327321151e-05
2011-04-01,0.0006,4.99862552685304e-05
2011-05-01,0.0004,3.3327223783574667e-05
2011-06-01,0.0004,3.3327223783574667e-05
2011-07-01,0.0004,3.3327223783574667e-05
2011-08-01,0.0002,1.6665139084048874e-05
2011-09-01,0.0001,8.332951413336787e-06
2011-10-01,0.0002,1.6665139084048874e-05
2011-11-01,0.0001,8.332951413336787e-06
2011-12-01,0.0001,8.332951413336787e-06
2012-01-01,0.0003,2.4996563158685703e-05
2012-02-01,0.0009,7.496908027748717e-05
2012-03-01,0.0008,6.66422347088691e-05
2012-04-01,0.0008,6.66422347088691e-05
2012-05-01,0.0009,7.496908027748717e-05
2012-06-01,0.0009,7.496908027748717e-05
2012-07-01,0.001,8.329516327321151e-05
2012-08-01,0.001,8.329516327321151e-05
2012-09-01,0.0011,9.162048384192545e-05
2012-10-01,0.001,8.329516327321151e-05
2012-11-01,0.0009,7.496908027748717e-05
2012-12-01,0.0007000000000000001,5.831462642125196e-05
2013-01-01,0.0007000000000000001,5.831462642125196e-05
2013-02-01,0.001,8.329516327321151e-05
2013-03-01,0.0009,7.496908027748717e-05
2013-04-01,0.0006,4.99862552685304e-05
2013-05-01,0.0004,3.3327223783574667e-05
2013-06-01,0.0005,4.165712110459907e-05
2013-07-01,0.0004,3.3327223783574667e-05
2013-08-01,0.0004,3.3327223783574667e-05
2013-09-01,0.0002,1.6665139084048874e-05
2013-10-01,0.0005,4.165712110459907e-05
2013-11-01,0.0007000000000000001,5.831462642125196e-05
2013-12-01,0.0007000000000000001,5.831462642125196e-05
2014-01-01,0.0004,3.3327223783574667e-05
2014-02-01,0.0005,4.165712110459907e-05
2014-03-01,0.0005,4.165712110459907e-05
2014-04-01,0.0003,2.4996563158685703e-05
2014-05-01,0.0003,2.4996563158685703e-05
2014-06-01,0.0004,3.3327223783574667e-05
2014-07-01,0.0003,2.4996563158685703e-05
2014-08-01,0.0003,2.4996563158685703e-05
2014-09-01,0.0002,1.6665139084048874e-05
2014-10-01,0.0002,1.6665139084048874e-05
2014-11-01,0.0002,1.6665139084048874e-05
2014-12-01,0.0003,2.4996563158685703e-05
2015-01-01,0.0003,2.4996563158685703e-05
2015-02-01,0.0002,1.6665139084048874e-05
2015-03-01,0.0003,2.4996563158685703e-05
2015-04-01,0.0002,1.6665139084048874e-05
2015-05-01,0.0002,1.6665139084048874e-05
2015-06-01,0.0002,1.6665139084048874e-05
2015-07-01,0.0003,2.4996563158685703e-05
2015-08-01,0.0007000000000000001,5.831462642125196e-05
2015-09-01,0.0002,1.6665139084048874e-05
2015-10-01,0.0002,1.6665139084048874e-05
2015-11-01,0.0012,9.994504212973432e-05
2015-12-01,0.0023,0.0001914649144576508
