Date,BND,TIP,VTI,VXUS
2011-01-01,52.16362762451172,73.50090789794922,50.94265365600586,31.673110961914062
2011-02-01,52.170108795166016,73.91786193847656,52.82630157470703,32.4096794128418
2011-03-01,52.10176467895508,74.72211456298828,52.82630157470703,32.327144622802734
2011-04-01,52.85330581665039,76.284423828125,54.58380126953125,34.003517150878906
2011-05-01,53.48222351074219,76.48634338378906,54.004730224609375,32.98118209838867
2011-06-01,53.28199768066406,76.74464416503906,52.80807876586914,32.58113479614258
2011-07-01,54.15262222290039,79.94976043701172,51.83108901977539,32.009647369384766
2011-08-01,55.050296783447266,80.6048355102539,48.67549133300781,29.304601669311523
2011-09-01,55.423675537109375,81.00293731689453,44.7523078918457,25.596294403076172
2011-10-01,55.4859504699707,82.56219482421875,50.10296630859375,28.218780517578125
2011-11-01,55.455142974853516,82.86473846435547,49.9159049987793,27.621896743774414
2011-12-01,55.71475601196289,83.08606719970703,50.11856460571289,25.970930099487305
2012-01-01,56.60782241821289,85.16297149658203,52.95911407470703,28.765380859375
2012-02-01,56.49333190917969,84.670654296875,55.193138122558594,30.07586669921875
2012-03-01,56.21229934692383,83.94293212890625,56.64333724975586,29.912065505981445
2012-04-01,56.77619171142578,85.20574951171875,56.52417755126953,29.289575576782227
2012-05-01,57.365562438964844,86.7933349609375,53.005184173583984,26.118179321289062
2012-06-01,57.40723419189453,85.94795989990234,54.870941162109375,27.677675247192383
2012-07-01,58.11343765258789,87.77912139892578,55.63197708129883,27.76285171508789
2012-08-01,58.2083625793457,87.82201385498047,57.13533401489258,28.483623504638672
2012-09-01,58.31583023071289,88.2715072631836,58.27473449707031,28.968515396118164
2012-10-01,58.2635612487793,88.82247924804688,57.50128936767578,29.6943359375
2012-11-01,58.417293548583984,89.10523223876953,57.946537017822266,30.30728530883789
2012-12-01,57.79145812988281,88.22807312011719,58.26457977294922,31.35993766784668
2013-01-01,57.50558853149414,88.12445068359375,61.875587463378906,32.55149459838867
2013-02-01,57.69853591918945,88.292236328125,62.66856384277344,32.18006896972656
2013-03-01,57.751399993896484,88.4819564819336,64.84721374511719,32.396183013916016
2013-04-01,58.232749938964844,89.12401580810547,66.1890640258789,33.61869812011719
2013-05-01,57.21072006225586,85.2257080078125,67.80635833740234,32.50823211669922
2013-06-01,56.26367950439453,81.98831176757812,66.51893615722656,30.930561065673828
2013-07-01,56.47412109375,82.82569122314453,70.67216491699219,32.78771209716797
2013-08-01,55.99028015136719,81.37090301513672,68.52986145019531,32.14965057373047
2013-09-01,56.60921096801758,82.7742919921875,70.85807800292969,34.406856536865234
2013-10-01,57.09493637084961,83.1015396118164,74.23865509033203,35.831451416015625
2013-11-01,56.92135238647461,82.17179870605469,76.24507904052734,35.879695892333984
2013-12-01,56.39308547973633,80.99742889404297,77.91846466064453,36.10023880004883
2014-01-01,57.56303024291992,82.76671600341797,75.84675598144531,34.458221435546875
2014-02-01,57.711708068847656,83.12810516357422,79.537841796875,36.38454055786133
2014-03-01,57.61339569091797,82.6855697631836,79.59502410888672,36.30108642578125
2014-04-01,58.06237030029297,83.7772216796875,79.9921646118164,37.02619934082031
2014-05-01,58.683231353759766,85.25980377197266,81.67355346679688,37.740665435791016
2014-06-01,58.73289108276367,85.28385925292969,83.4697494506836,38.027862548828125
2014-07-01,58.574485778808594,85.4353256225586,82.14254760742188,37.78489685058594
2014-08-01,59.24247360229492,85.94436645507812,85.55213165283203,38.22400665283203
2014-09-01,58.900028228759766,83.83271026611328,83.37789916992188,36.12051773071289
2014-10-01,59.337772369384766,84.7308578491211,86.058349609375,36.282588958740234
2014-11-01,59.82278060913086,84.8657455444336,88.19286346435547,36.09748840332031
2014-12-01,59.586978912353516,83.92911529541016,87.69645690917969,34.41720199584961
2015-01-01,61.42463684082031,86.68750762939453,85.7471694946289,34.79386520385742
2015-02-01,60.49980545043945,85.57040405273438,90.67076110839844,36.80382537841797
2015-03-01,60.83360290527344,85.15811157226562,89.19867706298828,36.14340591430664
2015-04-01,60.616127014160156,85.7353744506836,90.16787719726562,37.9969596862793
2015-05-01,60.337642669677734,84.87324523925781,91.33769226074219,37.651336669921875
2015-06-01,59.660621643066406,84.00360107421875,89.42418670654297,36.24003601074219
2015-07-01,60.185752868652344,84.45340728759766,91.33517456054688,36.41910171508789
2015-08-01,60.03401565551758,83.65120697021484,85.77149963378906,33.71223831176758
2015-09-01,60.52022171020508,82.9839859008789,82.84278869628906,32.2496452331543
2015-10-01,60.541709899902344,83.41666412353516,89.85166931152344,34.4400634765625
2015-11-01,60.29972839355469,83.34307861328125,90.3915023803711,33.98661804199219
2015-12-01,60.02320098876953,82.5005874633789,87.97083282470703,32.9919548034668
2016-01-01,61.042579650878906,83.79438018798828,83.40803527832031,31.436674118041992
2016-02-01,61.43095016479492,84.81739807128906,83.39958190917969,30.66273307800293
2016-03-01,61.98115921020508,86.23151397705078,88.91316223144531,33.10985565185547
2016-04-01,62.22578048706055,86.41202545166016,89.91720581054688,33.933746337890625
2016-05-01,62.228275299072266,85.85540008544922,91.47675323486328,33.600990295410156
2016-06-01,63.481040954589844,87.75848388671875,91.32337188720703,32.89110565185547
2016-07-01,63.86747360229492,87.95919036865234,95.37335968017578,34.798763275146484
2016-08-01,63.66682815551758,87.69696807861328,95.57020568847656,34.955970764160156
2016-09-01,63.738197326660156,88.38558197021484,95.29631805419922,35.33771896362305
2016-10-01,63.143009185791016,88.22541046142578,93.66175842285156,34.86583709716797
2016-11-01,61.514949798583984,86.39783477783203,97.86791229248047,34.16566467285156
