Date,portfolio_value,turnover,rebalanced,portfolio_return
2007-05-01,10184.527601579814,0.0,False,0.018452760157981363
2007-06-01,10205.022114966165,0.0,False,0.002012318507848221
2007-07-01,10172.250755408728,0.0,False,-0.003211297260137802
2007-08-01,10308.178710486085,0.0,False,0.013362623311766297
2007-09-01,10640.063440687822,0.0,False,0.03219625304556706
2007-10-01,11111.072069449074,0.0,False,0.04426746432357764
2007-11-01,10749.332079686885,0.0,False,-0.03255671347473543
2007-12-01,10700.905671045064,0.0,False,-0.004505062108308366
2008-01-01,10151.954648038285,0.0,False,-0.05129949182639304
2008-02-01,10055.174757463132,0.0,False,-0.009533128735346952
2008-03-01,10077.590041643634,0.0,False,0.002229228702749886
2008-04-01,10428.152677618004,0.0,False,0.03478635611547398
2008-05-01,10630.15796613512,0.0,False,0.019371147964747593
2008-06-01,10088.172692875101,0.0,False,-0.05098562739957779
2008-07-01,9939.893283811129,0.0,False,-0.014698341669814652
2008-08-01,9904.540598439085,0.0,False,-0.0035566463706024898
2008-09-01,9144.634728186868,0.1322963629769805,True,-0.07672298000090749
2008-10-01,7896.935252041618,0.0,False,-0.1364406029580839
2008-11-01,7618.810533922416,0.15931114345943787,True,-0.035219323603710384
2008-12-01,7930.090815001711,0.0,False,0.040856808250229415
2009-01-01,7576.2990786209275,0.0,False,-0.04461383162365551
2009-02-01,7251.073393918202,0.0,False,-0.042926722048296506
2009-03-01,7754.531779682555,0.0,False,0.06943225622107563
2009-04-01,8356.096144674731,0.0,False,0.077575846238495
2009-05-01,8823.880554047042,0.0,False,0.05598121434617842
2009-06-01,8905.519495862352,0.0,False,0.009252045210184523
2009-07-01,9505.34753478226,0.11258848188487983,True,0.06735463767145733
2009-08-01,9698.050842434946,0.0,False,0.020273146978323497
2009-09-01,10041.21495393972,0.0,False,0.03538485383095935
2009-10-01,9926.492605512667,0.0,False,-0.011425146155450094
2009-11-01,10287.002710241475,0.0,False,0.036317974440297274
2009-12-01,10380.063416895211,0.0,False,0.009046435514310502
2010-01-01,10072.513589688902,0.0,False,-0.029628896746981548
2010-02-01,10244.677137507257,0.0,False,0.017092411569898047
2010-03-01,10660.959910542482,0.0,False,0.0406340548801829
2010-04-01,10726.99442779327,0.0,False,0.006194049860884121
2010-05-01,10137.895822431936,0.0,False,-0.0549173964176769
2010-06-01,9947.90290335643,0.0,False,-0.01874086323269497
2010-07-01,10501.123537467185,0.0,False,0.05561178466308703
2010-08-01,10234.829839430487,0.0,False,-0.025358591115187123
2010-09-01,10943.404723981224,0.0,False,0.06923172106104758
2010-10-01,11306.448234027697,0.0,False,0.0331746398130468
2010-11-01,11095.591066084457,0.0,False,-0.01864928433569868
2010-12-01,11396.413518674415,0.0,False,0.02711189073193876
2011-01-01,11714.065873294447,0.0,False,0.027873010583506774
2011-02-01,11912.899843825571,0.0,False,0.016973950179367092
2011-03-01,11827.05617013379,0.0,False,-0.007205942702210644
2011-04-01,12213.174677392686,0.0,False,0.032647051109298
2011-05-01,12060.572775760289,0.0,False,-0.012494859499133537
2011-06-01,11905.795245336658,0.0,False,-0.012833348241528597
2011-07-01,11895.569145467989,0.0,False,-0.0008589178343777482
2011-08-01,11402.974774923274,0.0,False,-0.04140990351288787
2011-09-01,10847.520461846,0.0,False,-0.048711351558787586
2011-10-01,11627.7309918595,0.0,False,0.0719252416031606
2011-11-01,11466.073458862978,0.0,False,-0.013902758251777336
2011-12-01,11237.91067386506,0.0,False,-0.01989894673329118
2012-01-01,11962.50127218683,0.0,False,0.06447734097111835
2012-02-01,12413.617282732866,0.11264745074603925,True,0.03771084326610641
2012-03-01,12528.318563837902,0.0,False,0.009239956290950202
2012-04-01,12436.385914454684,0.0,False,-0.0073379878484711725
2012-05-01,11767.457569786124,0.0,False,-0.05378800153596652
2012-06-01,12078.03357225926,0.0,False,0.02639278711066395
2012-07-01,12181.385311776376,0.0,False,0.008557000516581814
2012-08-01,12466.045716336494,0.0,False,0.0233684755283885
2012-09-01,12575.665644610475,0.0,False,0.008793480368063156
2012-10-01,12418.29240459798,0.0,False,-0.012514108156170711
2012-11-01,12555.767923184338,0.0,False,0.01107040437664808
2012-12-01,12611.907694423413,0.0,False,0.004471233586232026
2013-01-01,12856.217041501995,0.0,False,0.019371323751965708
2013-02-01,12836.064839268995,0.0,False,-0.001567506379827499
2013-03-01,12954.952010361798,0.0,False,0.009261964050625071
2013-04-01,13179.383133477348,0.0,False,0.0173239640668712
2013-05-01,13100.470961706884,0.0,False,-0.005987546683426825
2013-06-01,12677.64492582452,0.0,False,-0.032275636281954956
2013-07-01,13148.976767057773,0.0,False,0.037178186010963676
2013-08-01,13002.558000785944,0.0,False,-0.011135373410853688
2013-09-01,13503.209792569456,0.0,False,0.038504099866599306
2013-10-01,13861.35650167838,0.0,False,0.026523079668509864
2013-11-01,14014.639323316662,0.0,False,0.011058284347547298
2013-12-01,14150.048924418506,0.0,False,0.009662011128360515
2014-01-01,13966.77614568586,0.0,False,-0.01295209505716799
2014-02-01,14447.561974571732,0.0,False,0.03442353653204222
2014-03-01,14413.100837207778,0.0,False,-0.002385256240783562
2014-04-01,14514.699489720178,0.0,False,0.007049048893776
2014-05-01,14828.553171397516,0.0,False,0.021623160844605804
2014-06-01,15013.84213334143,0.0,False,0.0124954174424321
2014-07-01,15014.519642432802,0.0,False,4.5125630425246754e-05
2014-08-01,15339.185161355708,0.12379504896200363,True,0.021623436956675013
2014-09-01,14980.462720069188,0.0,False,-0.023386016761193784
2014-10-01,15146.9486243692,0.0,False,0.01111353550361116
2014-11-01,15408.809062768045,0.0,False,0.01728799937814207
2014-12-01,15054.877714483173,0.0,False,-0.02296941618545123
2015-01-01,15112.083510709488,0.0,False,0.003799818059716298
2015-02-01,15644.943813223104,0.0,False,0.03526054512178911
2015-03-01,15472.395859487746,0.0,False,-0.011028991589571602
2015-04-01,15741.920148874664,0.0,False,0.017419686765682396
2015-05-01,15783.378107164799,0.0,False,0.0026336023749364834
2015-06-01,15340.698310783207,0.0,False,-0.02804721482156214
2015-07-01,15537.557351162957,0.0,False,0.012832469317343609
2015-08-01,14889.91777766637,0.0,False,-0.04168220003050305
