Date,BND,SPY,TIP,VXUS
2011-01-01,52.16362762451172,98.43980407714844,73.50090789794922,31.673110961914062
2011-02-01,52.170108795166016,101.85935974121094,73.91786193847656,32.4096794128418
2011-03-01,52.10176467895508,101.43093872070312,74.72211456298828,32.327144622802734
2011-04-01,52.85330581665039,104.82193756103516,76.284423828125,34.003517150878906
2011-05-01,53.48222351074219,103.64643096923828,76.48634338378906,32.98118209838867
2011-06-01,53.28199768066406,101.39524841308594,76.74464416503906,32.58113479614258
2011-07-01,54.15262222290039,99.85951232910156,79.94976043701172,32.009647369384766
2011-08-01,55.050296783447266,94.36965942382812,80.6048355102539,29.304601669311523
2011-09-01,55.423675537109375,87.36643981933594,81.00293731689453,25.596294403076172
2011-10-01,55.4859504699707,97.40361785888672,82.56219482421875,28.218780517578125
2011-11-01,55.455142974853516,97.00776672363281,82.86473846435547,27.621896743774414
2011-12-01,55.71475601196289,97.40361785888672,83.08606719970703,25.970930099487305
2012-01-01,56.60782241821289,102.56702423095703,85.16297149658203,28.765380859375
2012-02-01,56.49333190917969,107.01899719238281,84.670654296875,30.07586669921875
2012-03-01,56.21229934692383,109.97917938232422,83.94293212890625,29.912065505981445
2012-04-01,56.77619171142578,109.72371673583984,85.20574951171875,29.289575576782227
2012-05-01,57.365562438964844,103.13420104980469,86.7933349609375,26.118179321289062
2012-06-01,57.40723419189453,106.76628112792969,85.94795989990234,27.677675247192383
2012-07-01,58.11343765258789,108.58904266357422,87.77912139892578,27.76285171508789
2012-08-01,58.2083625793457,111.30943298339844,87.82201385498047,28.483623504638672
2012-09-01,58.31583023071289,113.52521514892578,88.2715072631836,28.968515396118164
2012-10-01,58.2635612487793,112.05430603027344,88.82247924804688,29.6943359375
2012-11-01,58.417293548583984,112.6884536743164,89.10523223876953,30.30728530883789
2012-12-01,57.79145812988281,112.89458465576172,88.22807312011719,31.35993766784668
2013-01-01,57.50558853149414,119.51532745361328,88.12445068359375,32.55149459838867
2013-02-01,57.69853591918945,121.04026794433594,88.292236328125,32.18006896972656
2013-03-01,57.751399993896484,125.07996368408203,88.4819564819336,32.396183013916016
2013-04-01,58.232749938964844,128.05003356933594,89.12401580810547,33.61869812011719
2013-05-01,57.21072006225586,131.0732879638672,85.2257080078125,32.50823211669922
2013-06-01,56.26367950439453,128.64349365234375,81.98831176757812,30.930561065673828
2013-07-01,56.47412109375,136.00721740722656,82.82569122314453,32.78771209716797
2013-08-01,55.99028015136719,131.92807006835938,81.37090301513672,32.14965057373047
2013-09-01,56.60921096801758,135.44297790527344,82.7742919921875,34.406856536865234
2013-10-01,57.09493637084961,142.4056396484375,83.1015396118164,35.831451416015625
2013-11-01,56.92135238647461,146.62619018554688,82.17179870605469,35.879695892333984
2013-12-01,56.39308547973633,149.61538696289062,80.99742889404297,36.10023880004883
2014-01-01,57.56303024291992,145.12535095214844,82.76671600341797,34.458221435546875
2014-02-01,57.711708068847656,151.73085021972656,83.12810516357422,36.38454055786133
2014-03-01,57.61339569091797,152.31727600097656,82.6855697631836,36.30108642578125
2014-04-01,58.06237030029297,154.0530548095703,83.7772216796875,37.02619934082031
2014-05-01,58.683231353759766,157.62802124023438,85.25980377197266,37.740665435791016
2014-06-01,58.73289108276367,160.11502075195312,85.28385925292969,38.027862548828125
2014-07-01,58.574485778808594,158.7204132080078,85.4353256225586,37.78489685058594
2014-08-01,59.24247360229492,164.98406982421875,85.94436645507812,38.22400665283203
2014-09-01,58.900028228759766,161.95091247558594,83.83271026611328,36.12051773071289
2014-10-01,59.337772369384766,166.53985595703125,84.7308578491211,36.282588958740234
2014-11-01,59.82278060913086,171.11502075195312,84.8657455444336,36.09748840332031
2014-12-01,59.586978912353516,169.74412536621094,83.92911529541016,34.41720199584961
2015-01-01,61.42463684082031,165.62384033203125,86.68750762939453,34.79386520385742
2015-02-01,60.49980545043945,174.93263244628906,85.57040405273438,36.80382537841797
2015-03-01,60.83360290527344,171.4199981689453,85.15811157226562,36.14340591430664
2015-04-01,60.616127014160156,173.87841796875,85.7353744506836,37.9969596862793
2015-05-01,60.337642669677734,176.1138458251953,84.87324523925781,37.651336669921875
2015-06-01,59.660621643066406,171.70135498046875,84.00360107421875,36.24003601074219
2015-07-01,60.185752868652344,176.43411254882812,84.45340728759766,36.41910171508789
2015-08-01,60.03401565551758,165.6804656982422,83.65120697021484,33.71223831176758
2015-09-01,60.52022171020508,160.61790466308594,82.9839859008789,32.2496452331543
2015-10-01,60.541709899902344,175.18605041503906,83.41666412353516,34.4400634765625
2015-11-01,60.29972839355469,175.82632446289062,83.34307861328125,33.98661804199219
2015-12-01,60.02320098876953,171.76539611816406,82.5005874633789,32.9919548034668
2016-01-01,61.042579650878906,164.1851806640625,83.79438018798828,31.436674118041992
2016-02-01,61.43095016479492,164.049560546875,84.81739807128906,30.66273307800293
2016-03-01,61.98115921020508,174.1860809326172,86.23151397705078,33.10985565185547
2016-04-01,62.22578048706055,175.7745361328125,86.41202545166016,33.933746337890625
2016-05-01,62.228275299072266,178.7647705078125,85.85540008544922,33.600990295410156
2016-06-01,63.481040954589844,178.45806884765625,87.75848388671875,32.89110565185547
2016-07-01,63.86747360229492,185.92852783203125,87.95919036865234,34.798763275146484
2016-08-01,63.66682815551758,186.1511993408203,87.69696807861328,34.955970764160156
2016-09-01,63.738197326660156,185.22633361816406,88.38558197021484,35.33771896362305
2016-10-01,63.143009185791016,182.9345245361328,88.22541046142578,34.86583709716797
2016-11-01,61.514949798583984,189.6735382080078,86.39783477783203,34.16566467285156
