Date,BND,SPY,TIP,VXUS
2011-02-01,0.00012424693123236352,0.03473753017003722,0.005672774016699966,0.02325532379226769
2011-03-01,-0.0013100244141578399,-0.00420600543333749,0.010880355619337534,-0.0025466092702650656
2011-04-01,0.01442448528041651,0.033431602655964454,0.0209082582080804,0.05185649854437502
2011-05-01,0.011899306663494702,-0.011214318482831054,0.002646930336906106,-0.03006556786328818
2011-06-01,-0.003743782829782827,-0.021719827061102426,0.003377083670399905,-0.012129562277442996
2011-07-01,0.016339938067905457,-0.01514603601273068,0.04176338696782622,-0.0175404395928368
2011-08-01,0.01657675147940041,-0.05497576322204367,0.00819358394148395,-0.08450720087158625
2011-09-01,0.006782502102229859,-0.0742104999345149,0.004938932064317392,-0.1265435138167662
2011-10-01,0.0011236160766643355,0.11488596834558606,0.019249394638915174,0.10245569429717061
2011-11-01,-0.0005552305557757764,-0.004064029077722742,0.0036644331074393577,-0.021152004546472147
2011-12-01,0.004681496127908247,0.00408061280682448,0.0026709640246649347,-0.059770212726583116
2012-01-01,0.016029261728405464,0.05301041671317375,0.02499702256797054,0.10759917912769934
2012-02-01,-0.002022520989897081,0.04340549991389997,-0.005780883300047668,0.04555774339475316
2012-03-01,-0.00497461475112948,0.02766034318766808,-0.008594738921199108,-0.005446266765158914
2012-04-01,0.010031476581696008,-0.002322827356224466,0.015043760692958319,-0.02081066347874705
2012-05-01,0.01038059633401689,-0.06005552748362908,0.018632374673265506,-0.10827730320568807
2012-06-01,0.000726424550862248,0.03521702831024043,-0.009740091925441341,0.05970921275634877
2012-07-01,0.012301645787928805,0.017072445685922588,0.021305467880285534,0.0030774429981847984
2012-08-01,0.0016334419472014972,0.02505216229092655,0.0004886407538731152,0.0259617346570733
2012-09-01,0.0018462579362319431,0.019906508425551195,0.0051182316195272914,0.017023532536179165
2012-10-01,-0.0008963086305520118,-0.01295667325292238,0.006241787434540402,0.02505549668172158
2012-11-01,0.0026385668247821403,0.005659288487062986,0.0031833494529356354,0.02064196258262907
2012-12-01,-0.010713187494396426,0.0018292111988780224,-0.009844080943550826,0.03473265085546373
2013-01-01,-0.0049465718228842714,0.058645353256221666,-0.0011744837312990253,0.03799615111364507
2013-02-01,0.003355280636587965,0.012759371732588232,0.0019039624443581982,-0.0114104016803116
2013-03-01,0.0009162117177647922,0.03337480830432282,0.002148775041822759,0.006715773182237816
2013-04-01,0.008334861927489667,0.023745368944585676,0.007256387083879323,0.03773639337930734
2013-05-01,-0.017550774740677677,0.02360994613011358,-0.04374026198153469,-0.03303120184637587
2013-06-01,-0.01655355074767062,-0.018537677274054976,-0.03798614662066058,-0.04853143183430619
2013-07-01,0.0037402742090308916,0.057241322866923294,0.010213400392244054,0.06004259113020649
2013-08-01,-0.008567480697567853,-0.029992138774912136,-0.017564455986107008,-0.019460385694084814
2013-09-01,0.011054254684512044,0.026642607862699563,0.01724681581559584,0.07020934669128676
2013-10-01,0.008580324553657093,0.051406590809260244,0.003953493430783883,0.041404389198530955
2013-11-01,-0.003040269337503343,0.029637523819483702,-0.011188010596490994,0.0013464281912061171
2013-12-01,-0.009280645743473315,0.020386513306804854,-0.014291640568958153,0.0061467329148117145
2014-01-01,0.020746244920469614,-0.030010522994241673,0.021843744098216877,-0.045484944672990135
2014-02-01,0.002582870034817608,0.045515819422590864,0.004366358575122575,0.05590303393683782
2014-03-01,-0.0017035083732472867,0.0038649080289261395,-0.005323535277507285,-0.0022936700807686394
2014-04-01,0.007792885734138055,0.011395810469868373,0.013202447774508519,0.01997496456536041
2014-05-01,0.010693002201869639,0.0232060729667658,0.01769672069042394,0.01929623098482658
2014-06-01,0.0008462337171677436,0.015777648492639518,0.0002821432831510151,0.007609752231998224
2014-07-01,-0.0026970459147305226,-0.008710035681822825,0.0017760262135850802,-0.006389149480337419
2014-08-01,0.01140407490744022,0.03946345961185371,0.005958200882482778,0.011621304776415764
2014-09-01,-0.005780403023581515,-0.01838454677390655,-0.0245700361299257,-0.055030571264388706
2014-10-01,0.007431985243281369,0.028335397505939275,0.010713569681294999,0.004486957502537026
2014-11-01,0.00817368465952617,0.02747189114960147,0.0015919547935263623,-0.005101635818502759
2014-12-01,-0.003941670620729254,-0.008011543228162443,-0.011036611332578716,-0.0465485683850555
2015-01-01,0.030839924460171142,-0.02427350593306521,0.03286573823965022,0.010944039206128187
2015-02-01,-0.015056359108439277,0.05620442139003767,-0.01288655778911052,0.05776765998213129
2015-03-01,0.005517331045096219,-0.020079925787558572,-0.00481816680700331,-0.017944315769376606
2015-04-01,-0.0035749303136282107,0.01434149939368079,0.006778718641830217,0.05128331780262485
2015-05-01,-0.0045942286021897205,0.012856269815193944,-0.010055700076538332,-0.009096070296440772
2015-06-01,-0.011220541550118646,-0.025054764002520602,-0.010246387569928905,-0.03748341450801984
2015-07-01,0.008801973749580805,0.027563891786979378,0.0053546063219538365,0.004941101722212071
2015-08-01,-0.002521148376525506,-0.06094993023307704,-0.009498732415271327,-0.07432537530707128
2015-09-01,0.008098842787352512,-0.03055617337759553,-0.007976227642160771,-0.043384632758209585
2015-10-01,0.000355058013504328,0.09070063379616022,0.005213996627892348,0.06792069269513523
2015-11-01,-0.003996938750949419,0.003654823236979521,-0.0008821440059617602,-0.013166219478047636
2015-12-01,-0.004585881431842576,-0.023096247715646556,-0.010108711652128566,-0.029266319976186894
2016-01-01,0.016983077298728277,-0.04413121400125808,0.015682224386386112,-0.047141210476603135
2016-02-01,0.006362288686638573,-0.0008260192341292827,0.012208669376224224,-0.024619049621247502
