Date,AGG,ITOT,IXUS,TIP
2012-10-01,78.25556182861328,25.348127365112305,33.657100677490234,88.82247924804688
2012-11-01,78.44178009033203,25.49425506591797,34.29621505737305,89.10523223876953
2012-12-01,77.79264068603516,25.64829444885254,36.06069564819336,88.22807312011719
2013-01-01,77.93211364746094,27.17833137512207,36.7623291015625,88.12445068359375
2013-02-01,78.2427749633789,27.512100219726562,36.295310974121094,88.292236328125
2013-03-01,78.32186889648438,28.437910079956055,36.52534103393555,88.4819564819336
2013-04-01,79.04383850097656,29.205575942993164,37.81488037109375,89.12401580810547
2013-05-01,77.50381469726562,29.90314292907715,36.657772064208984,85.2257080078125
2013-06-01,76.29241180419922,29.35390853881836,34.74786376953125,81.98831176757812
2013-07-01,76.49314880371094,31.068674087524414,37.11140823364258,82.82569122314453
2013-08-01,75.8561782836914,30.138427734375,36.33100509643555,81.37090301513672
2013-09-01,76.70976257324219,31.048524856567383,39.09076690673828,82.7742919921875
2013-10-01,77.35488891601562,32.55768585205078,40.36069869995117,83.1015396118164
2013-11-01,77.1626205444336,33.548954010009766,40.644474029541016,82.17179870605469
2013-12-01,76.57205963134766,34.22866439819336,40.899871826171875,80.99742889404297
2014-01-01,78.0528335571289,33.23512649536133,39.083736419677734,82.76671600341797
2014-02-01,78.19731140136719,34.73972702026367,41.08180618286133,83.12810516357422
2014-03-01,78.08611297607422,34.87390899658203,41.245941162109375,82.6855697631836
2014-04-01,78.72360229492188,35.149627685546875,41.80255126953125,83.7772216796875
2014-05-01,79.65789031982422,35.933650970458984,42.587501525878906,85.25980377197266
2014-06-01,79.60691833496094,36.59513854980469,42.55896759033203,85.28385925292969
2014-07-01,79.41482543945312,36.1370735168457,42.49725341796875,85.4353256225586
2014-08-01,80.3241958618164,37.609291076660156,43.02665710449219,85.94436645507812
2014-09-01,79.83541870117188,36.780906677246094,40.807525634765625,83.83271026611328
2014-10-01,80.68819427490234,37.902557373046875,40.560943603515625,84.7308578491211
2014-11-01,81.21737670898438,38.84589767456055,40.48117446899414,84.8657455444336
2014-12-01,80.99887084960938,38.67699432373047,38.63188934326172,83.92911529541016
2015-01-01,83.15158081054688,37.93254089355469,38.92348861694336,86.68750762939453
2015-02-01,82.27853393554688,40.087284088134766,41.161319732666016,85.57040405273438
2015-03-01,82.57801818847656,39.40509033203125,40.64772033691406,85.15811157226562
2015-04-01,82.29322814941406,39.82530212402344,42.4526481628418,85.7353744506836
2015-05-01,81.93620300292969,40.35586166381836,42.225196838378906,84.87324523925781
2015-06-01,81.05301666259766,39.457679748535156,40.434932708740234,84.00360107421875
2015-07-01,81.74232482910156,40.38720703125,40.77853775024414,84.45340728759766
2015-08-01,81.47112274169922,37.9288330078125,37.82379150390625,83.65120697021484
2015-09-01,82.12457275390625,36.74998092651367,36.35013961791992,82.9839859008789
2015-10-01,82.19466400146484,39.980018615722656,38.60527038574219,83.41666412353516
2015-11-01,81.86720275878906,40.15291213989258,38.15871047973633,83.34307861328125
2015-12-01,81.42522430419922,39.15773391723633,36.82646942138672,82.5005874633789
2016-01-01,82.8868179321289,37.093143463134766,35.1676025390625,83.79438018798828
2016-02-01,83.44767761230469,37.135581970214844,34.48986053466797,84.81739807128906
2016-03-01,84.18419647216797,39.618072509765625,37.23097610473633,86.23151397705078
2016-04-01,84.39913940429688,40.022518157958984,38.14216995239258,86.41202545166016
2016-05-01,84.42366027832031,40.73857116699219,37.743045806884766,85.85540008544922
2016-06-01,86.0469970703125,40.59791564941406,36.869503021240234,87.75848388671875
2016-07-01,86.52299499511719,42.417259216308594,38.98090744018555,87.95919036865234
2016-08-01,86.34099578857422,42.54578399658203,39.21025085449219,87.69696807861328
2016-09-01,86.38416290283203,42.434410095214844,39.92121887207031,88.38558197021484
2016-10-01,85.68186950683594,41.65330505371094,39.20261001586914,88.22541046142578
2016-11-01,83.47694396972656,43.4949836730957,38.30816650390625,86.39783477783203
2016-12-01,83.4956283569336,44.140438079833984,38.598670959472656,86.177001953125
2017-01-01,84.02571868896484,45.26313018798828,40.618431091308594,87.13349914550781
2017-02-01,84.39820861816406,46.88090896606445,41.20576095581055,87.49217224121094
2017-03-01,84.35076141357422,46.742496490478516,42.310855865478516,87.49217224121094
2017-04-01,85.11380004882812,47.40554428100586,43.307777404785156,87.76688385009766
2017-05-01,85.68646240234375,47.909366607666016,44.52880096435547,87.63352966308594
2017-06-01,85.67874145507812,48.14393615722656,44.3278694152832,86.89289093017578
2017-07-01,85.96839904785156,49.268226623535156,46.493221282958984,87.26541137695312
2017-08-01,86.77389526367188,49.32929992675781,46.81413650512695,88.22960662841797
2017-09-01,86.27925109863281,50.28029251098633,47.72990798950195,87.59627532958984
2017-10-01,86.36461639404297,51.64621353149414,48.67699432373047,87.94779968261719
2017-11-01,86.23554992675781,53.215240478515625,48.958770751953125,87.89221954345703
2017-12-01,86.61360931396484,53.592140197753906,49.37361145019531,88.37077331542969
2018-01-01,85.84931945800781,56.66570281982422,52.78025436401367,88.12892150878906
2018-02-01,84.79308319091797,54.51639938354492,50.12538528442383,87.20175170898438
2018-03-01,85.3653793334961,53.256771087646484,49.958961486816406,88.09849548339844
2018-04-01,84.55658721923828,53.63842010498047,50.18086242675781,87.75566864013672
2018-05-01,85.11634826660156,55.141883850097656,49.396297454833984,87.8813247680664
2018-06-01,85.19733428955078,55.292232513427734,47.65279769897461,88.57856750488281
2018-07-01,85.18824768066406,57.35061264038086,49.49716567993164,88.03318786621094
2018-08-01,85.65382385253906,59.34873580932617,48.3875732421875,88.56816864013672
