Date,Value,Drawdown
2007-04-27,10016.050098361731,0.0
2007-04-30,9907.444099595603,-0.010843196439671576
2007-05-01,9927.970094317292,-0.008793886130705975
2007-05-02,9966.731366347994,-0.004923970180800485
2007-05-03,9992.090321893314,-0.0023921382414346937
2007-05-04,10022.997708782596,0.0
2007-05-07,10029.262852832775,0.0
2007-05-08,10032.177204043792,0.0
2007-05-09,10038.355123640471,0.0
2007-05-10,9883.671881275255,-0.015409221975115628
2007-05-11,9956.05404154765,-0.008198662139278223
2007-05-14,9872.539158238096,-0.016518240624091463
2007-05-15,9832.660328557917,-0.02049088645988828
2007-05-16,9863.940543534698,-0.017374816686353767
2007-05-17,9842.065913436632,-0.019553921711892297
2007-05-18,9919.4990474359,-0.011840194408410887
2007-05-21,9895.977580909435,-0.01418335384407099
2007-05-22,9924.614645676316,-0.011330589181517858
2007-05-23,9887.700486578724,-0.015007900717414646
2007-05-24,9729.78302322891,-0.030739309041265983
2007-05-25,9779.424975026755,-0.025794081343459507
2007-05-29,9768.727065496674,-0.026859784777768958
2007-05-30,9829.073401279267,-0.02084820867398307
2007-05-31,9877.12188679626,-0.01606171876351581
2007-06-01,9930.822464736497,-0.010712179194650395
2007-06-04,9957.844477281269,-0.008020302665881829
2007-06-05,9919.567685280103,-0.01183335684953224
2007-06-06,9845.493472028491,-0.019212475473973645
2007-06-07,9682.823277846739,-0.03541734093033322
2007-06-08,9692.679183531658,-0.03443551616287621
2007-06-11,9697.101316100727,-0.03399499253977245
2007-06-12,9614.388722572443,-0.042234648589944856
2007-06-13,9714.73391212502,-0.032238470100875216
2007-06-14,9786.376380397369,-0.02510159683927582
2007-06-15,9879.991514635016,-0.015775852423521752
2007-06-18,9902.27059489899,-0.013556456916034021
2007-06-19,9898.158531763736,-0.013966092068865898
2007-06-20,9817.568544868143,-0.021994298473499097
2007-06-21,9872.163219340964,-0.01655569087291231
2007-06-22,9761.57343282335,-0.027572414744054585
2007-06-25,9721.957024002857,-0.03151891876115165
2007-06-26,9708.016930300695,-0.032907601820324595
2007-06-27,9751.715137892881,-0.028554477523169974
2007-06-28,9755.775526133337,-0.028149990115577284
2007-06-29,9790.109731025736,-0.02472968823648347
2007-07-02,9840.94586858164,-0.019665498244222146
2007-07-03,9821.153354623973,-0.021637187202610986
2007-07-05,9771.318836477301,-0.026601597958443968
2007-07-06,9782.937071059327,-0.02544421366202032
2007-07-09,9824.242384363224,-0.021329464502905293
2007-07-10,9711.72821791534,-0.03253789108894134
2007-07-11,9648.003570927136,-0.03888600750874527
2007-07-12,9816.043219882826,-0.02214624816710231
2007-07-13,9815.793811115398,-0.022171093748311166
2007-07-16,9798.764486633849,-0.023867519534388926
2007-07-17,9829.687259246788,-0.02078705742360787
2007-07-18,9759.197183459424,-0.027809131749446214
2007-07-19,9838.62270745465,-0.01989692671017873
2007-07-20,9781.210799525408,-0.02561618123167253
2007-07-23,9782.039753986945,-0.025533602517199272
2007-07-24,9739.318105497961,-0.029789444033342938
2007-07-25,9698.510696750282,-0.0338545929790679
2007-07-26,9688.329880455347,-0.034868784663815044
2007-07-27,9705.239942038375,-0.03318423959893635
2007-07-30,9684.467468623183,-0.03525355007454134
2007-07-31,9743.560445115081,-0.02936683100911064
2007-08-01,9714.795951024678,-0.03223228991508842
2007-08-02,9732.189625209165,-0.03049956837154344
2007-08-03,9783.284867902075,-0.025409566865960076
2007-08-06,9719.85031962961,-0.03172878425677306
2007-08-07,9716.385091174432,-0.03207398308790599
2007-08-08,9646.948806088809,-0.03899108098197235
2007-08-09,9668.734213962236,-0.03682086408835772
2007-08-10,9648.105572977798,-0.038875846277208304
2007-08-13,9659.124415221706,-0.037778172195330195
2007-08-14,9674.06495822163,-0.036289826463793085
2007-08-15,9660.41675289537,-0.037649432211762535
2007-08-16,9630.988237062726,-0.0405810395787245
2007-08-17,9640.928548225666,-0.039590806513595034
2007-08-20,9633.334142139554,-0.04034734540792306
2007-08-21,9669.027108157883,-0.03679168657948906
2007-08-22,9656.738631949367,-0.03801583894879268
2007-08-23,9665.061111695075,-0.037186770875069275
2007-08-24,9686.386930526272,-0.03506233728325758
2007-08-27,9719.709091578256,-0.0317428531006837
2007-08-28,9738.712444316128,-0.029849778737024324
2007-08-29,9709.177012240085,-0.03279203687715404
2007-08-30,9745.79957211259,-0.0291437738478596
2007-08-31,9801.17862235087,-0.02362702836952313
2007-09-04,9903.888904236821,-0.013395244315174692
2007-09-05,9775.977233461184,-0.026137538167122942
2007-09-06,9836.927881648811,-0.020065761721987263
2007-09-07,9764.106215163587,-0.02732010425005027
2007-09-10,9799.784788368941,-0.02376587920362505
2007-09-11,9872.780218482354,-0.016494226705347947
2007-09-12,9852.973075450926,-0.01846737298155232
2007-09-13,9785.851683981171,-0.02515386600187619
2007-09-14,9775.534649826053,-0.026181627425739484
2007-09-17,9823.7533071403,-0.02137818535576419
2007-09-18,9868.236169325324,-0.01694689540465788
2007-09-19,9858.241643445452,-0.017942529226810278
2007-09-20,9960.609068895876,-0.007744899815459005
2007-09-21,9954.79929792224,-0.00832365708217031
2007-09-24,9960.763464508931,-0.007729519246515881
2007-09-25,9968.365416789758,-0.006972228616009546
2007-09-26,9968.994779022412,-0.006909532863079715
2007-09-27,10086.838765693596,0.0
2007-09-28,10103.60805933236,0.0
2007-10-01,10242.406293510228,0.0
2007-10-02,10193.200867066122,-0.004804088515340754
2007-10-03,10111.481116134808,-0.012782658061355812
2007-10-04,10118.612098306477,-0.01208643668843612
2007-10-05,10272.243259422055,0.0
2007-10-08,10220.934297861098,-0.0049949130160926725
2007-10-09,10318.229490955442,0.0
2007-10-10,10306.84914190747,-0.001102936221562656
2007-10-11,10230.07284723374,-0.008543776216547339
2007-10-12,10335.942578909446,0.0
2007-10-15,10299.592301936967,-0.0035168807000390823
2007-10-16,10234.725195076191,-0.009792757947377662
2007-10-17,10281.311968003754,-0.005285498684673984
2007-10-18,10336.759058515689,0.0
2007-10-19,10203.564078159716,-0.01288556496305715
2007-10-22,10111.21733902519,-0.02181938441379183
2007-10-23,10181.499772348816,-0.015020112715016465
2007-10-24,10237.175970012031,-0.00963387924009107
2007-10-25,10264.710921075926,-0.006970089660782719
2007-10-26,10391.091335656252,0.0
2007-10-29,10444.229592472899,0.0
2007-10-30,10367.496489528921,-0.007346937585447022
2007-10-31,10386.59135248148,-0.00551866841695603
2007-11-01,10277.88562926292,-0.01592687729977338
2007-11-02,10396.871912146451,-0.004534339264293696
2007-11-05,10389.362821134531,-0.005253309576601972
2007-11-06,10508.827821017987,0.0
2007-11-07,10461.259336288756,-0.004526526225321903
2007-11-08,10443.292540443827,-0.0062362122294066236
2007-11-09,10475.703946083091,-0.003152004723937618
2007-11-12,10192.470667627942,-0.030103942968531694
2007-11-13,10189.284771235749,-0.030407106789126503
2007-11-14,10243.291976931223,-0.02526788416455772
2007-11-15,10109.39233254977,-0.038009518784705265
2007-11-16,10126.3130178644,-0.03639937866224663
2007-11-19,10199.359601591961,-0.029448405159620106
2007-11-20,10188.582242587525,-0.030473958074559104
2007-11-21,10259.939794623906,-0.02368370960425259
2007-11-23,10272.618172405328,-0.022477259370472513
2007-11-26,10439.648958962993,-0.006582928489572759
2007-11-27,10342.472932417306,-0.015830013721222613
2007-11-28,10276.742503556652,-0.02208479588914347
2007-11-29,10304.708933207035,-0.01942356381581467
2007-11-30,10249.587699246324,-0.024668795244049524
2007-12-03,10314.277868174382,-0.018513002226042685
2007-12-04,10308.402898181312,-0.019072053158566304
2007-12-05,10206.01454835893,-0.02881513312582984
2007-12-06,10237.744632776972,-0.02579575884751295
2007-12-07,10178.280905376223,-0.03145421366412149
2007-12-10,10261.103791715514,-0.02357294586243175
2007-12-11,10015.004977087394,-0.0469912393980737
2007-12-12,10099.392827034593,-0.03896105264609162
2007-12-13,10032.217419883174,-0.04535333619050996
2007-12-14,9888.697181132851,-0.05901044821048973
2007-12-17,9842.551383766187,-0.06340159422150071
2007-12-18,9900.955330108203,-0.05784398614791453
2007-12-19,9921.108549353963,-0.05592624426566084
2007-12-20,9949.954478455207,-0.053181320703058366
2007-12-21,10015.337171770469,-0.046959628386005314
2007-12-24,10054.799129080646,-0.04320450383907415
2007-12-26,10099.627357869658,-0.03893873513941437
2007-12-27,10070.088409709078,-0.0417496050731192
2007-12-28,10207.16947022749,-0.02870523296491445
2007-12-31,10160.812969092558,-0.03311642914439883
2008-01-02,10308.901571575845,-0.01902460035002984
2008-01-03,10360.70879986278,-0.014094723377136797
2008-01-04,10329.622702662662,-0.017052817060805636
2008-01-07,10312.688043693457,-0.018664286889565784
2008-01-08,10458.080839665836,-0.004828985897994742
2008-01-09,10442.076651636355,-0.0063519138878770365
2008-01-10,10532.827923981149,0.0
2008-01-11,10582.86947570563,0.0
2008-01-14,10666.048560930625,0.0
2008-01-15,10594.035983880953,-0.006751570334439738
2008-01-16,10471.881102017063,-0.018204254162576206
2008-01-17,10500.526983619817,-0.015518547132544303
2008-01-18,10546.543710096917,-0.011204229021743783
2008-01-22,10634.050283217204,-0.0030000123785888233
2008-01-23,10608.692752826497,-0.005377418617258156
2008-01-24,10701.0269757705,0.0
2008-01-25,10754.684685121378,0.0
2008-01-28,10848.239273748763,0.0
2008-01-29,10796.45839708215,-0.004773205619820309
2008-01-30,10857.389194306343,0.0
2008-01-31,10827.347078846706,-0.0027669741704930972
2008-02-01,10693.565141740282,-0.015088715126097774
2008-02-04,10650.013615625936,-0.019099948889108154
