Date,Wealth,MonthlyReturn,Turnover,W_VGT,W_VEU,W_BND,W_TIP,Drawdown,Rebalanced
2008-05-01,10000.0,0.0,0.5,0.08757256172482342,0.11918403050343948,0.5382059544315475,0.2550374533401895,0.0,1
2008-06-01,9861.252399013229,-0.013874760098677047,0.0,0.08757256172482342,0.11918403050343948,0.5382059544315475,0.2550374533401895,-0.013874760098677164,0
2008-07-01,9794.006790110314,-0.006819175311813767,0.0,0.08757256172482342,0.11918403050343948,0.5382059544315475,0.2550374533401895,-0.02059932098896866,0
2008-08-01,9814.837295534318,0.0021268624650168716,0.0,0.08757256172482342,0.11918403050343948,0.5382059544315475,0.2550374533401895,-0.018516270446568117,0
2008-09-01,9431.62910045245,-0.03904376440924044,0.0,0.08757256172482342,0.11918403050343948,0.5382059544315475,0.2550374533401895,-0.056837089954755005,0
2008-10-01,8683.824309405882,-0.07928691672265774,0.05294773290671479,0.07476786929861225,0.0985308830813289,0.5911536873382623,0.23554756028179652,-0.1316175690594118,1
2008-11-01,8783.36345023347,0.011462592664360104,0.0,0.07476786929861225,0.0985308830813289,0.5911536873382623,0.23554756028179652,-0.12166365497665299,0
2008-12-01,9223.07913650402,0.050062335318580356,0.07399028078317152,0.10133514995041236,0.11447470645654298,0.5171634065550909,0.2670267370379539,-0.07769208634959801,1
2009-01-01,9022.536458269271,-0.021743571237616468,0.0,0.10133514995041236,0.11447470645654298,0.5171634065550909,0.2670267370379539,-0.09774635417307287,0
2009-02-01,8792.849001574377,-0.02545708269035381,0.0,0.10133514995041236,0.11447470645654298,0.5171634065550909,0.2670267370379539,-0.12071509984256223,0
2009-03-01,9187.357442215525,0.04486696411714909,0.05013901102005147,0.12615445456217933,0.12227751041186537,0.4670243955350393,0.28454363949091593,-0.08126425577844743,1
2009-04-01,9447.14769081287,0.02827692840202548,0.0,0.12615445456217933,0.12227751041186537,0.4670243955350393,0.28454363949091593,-0.05528523091871307,0
2009-05-01,9732.820391595324,0.03023904252711805,0.0,0.12615445456217933,0.12227751041186537,0.4670243955350393,0.28454363949091593,-0.026717960840467625,0
2009-06-01,9801.913319815394,0.0070989626274963495,0.051474698707691245,0.11524686599255159,0.09433470394250355,0.5184990942427306,0.2719193358222142,-0.019808668018460596,1
2009-07-01,10073.275218946152,0.027684584659831302,0.0,0.11524686599255159,0.09433470394250355,0.5184990942427306,0.2719193358222142,0.0,0
2009-08-01,10205.368628906588,0.013113253345048315,0.0,0.11524686599255159,0.09433470394250355,0.5184990942427306,0.2719193358222142,0.0,0
2009-09-01,10410.200924508143,0.020071033497150535,0.0,0.11524686599255159,0.09433470394250355,0.5184990942427306,0.2719193358222142,0.0,0
2009-10-01,10437.926336987826,0.0026632927338041045,0.0,0.11524686599255159,0.09433470394250355,0.5184990942427306,0.2719193358222142,0.0,0
2009-11-01,10690.06156107491,0.024155681497158778,0.0,0.11524686599255159,0.09433470394250355,0.5184990942427306,0.2719193358222142,0.0,0
2009-12-01,10594.270223756143,-0.008960784441837656,0.0,0.11524686599255159,0.09433470394250355,0.5184990942427306,0.2719193358222142,-0.008960784441837677,0
2010-01-01,10623.078667999955,0.002719247634368636,0.0,0.11524686599255159,0.09433470394250355,0.5184990942427306,0.2719193358222142,-0.006265903399364503,0
2010-02-01,10648.835158845199,0.002424578754446404,0.0580328260072099,0.0970594974653662,0.07707991726224403,0.5765319202499405,0.24932866502244927,-0.0038565168211778245,1
2010-03-01,10765.78194901387,0.01098212043140996,0.0,0.0970594974653662,0.07707991726224403,0.5765319202499405,0.24932866502244927,0.0,0
2010-04-01,10895.652951370172,0.012063313465883147,0.0,0.0970594974653662,0.07707991726224403,0.5765319202499405,0.24932866502244927,0.0,0
2010-05-01,10803.789832766874,-0.008431171496862556,0.08212777242005595,0.10873873824813689,0.08000010175155285,0.49440414782988457,0.3168570121704257,-0.008431171496862455,1
2010-06-01,10825.910307993347,0.0020474736707097917,0.0,0.10873873824813689,0.08000010175155285,0.49440414782988457,0.3168570121704257,-0.006400960427805691,0
